	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
0	8.25	2.25	0	2.624060869371915e-12	4.661236298940657e-15
1	8.25	3.75	0	2.800617389914472e-12	7.127128069058524e-15
2	8.25	4.25	0	2.860804286806402e-12	1.017699074077022e-15
3	8.25	5.75	0	3.055651412050707e-12	8.423294086966286e-15
4	8.25	6.25	0	3.11682380836426e-12	2.259734567432971e-15
5	8.25	7.75	0	3.335973746191228e-12	4.908674003161511e-15
6	8.25	8.25	0	3.414432728332682e-12	5.222492450176456e-15
7	8.25	9.75	0	3.664821013598119e-12	4.168294233010974e-15
8	8.25	10.25	0	3.751269816553823e-12	4.160813971971374e-15
9	9.0	2.25	0	3.475097162528247e-12	7.353071674685615e-15
10	9.0	3.75	0	3.702012042106805e-12	4.447514829363102e-15
11	9.0	4.25	0	3.772555281242892e-12	9.078195657412179e-15
12	9.0	5.75	0	4.017984321767832e-12	3.066249549687524e-15
13	9.0	6.25	0	4.105507252952202e-12	2.848052685367498e-15
14	9.0	7.75	0	4.374330330083088e-12	5.907728953432521e-15
15	9.0	8.25	0	4.470885462677995e-12	5.647805043677429e-15
16	9.0	9.75	0	4.77110827104525e-12	7.380098645516822e-15
17	9.0	10.25	0	4.881023865597751e-12	4.018128040194019e-15
18	10.0	2.25	0	4.247624206458533e-12	9.79015316600102e-15
19	10.0	3.75	0	4.498099797713e-12	2.721075778585575e-15
20	10.0	4.25	0	4.586285460723187e-12	6.840536896912952e-15
21	10.0	5.75	0	4.865217513129305e-12	6.76915004816669e-15
22	10.0	6.25	0	4.96424234695935e-12	7.857310968016351e-15
23	10.0	7.75	0	5.271577947796505e-12	8.290438958453151e-15
24	10.0	8.25	0	5.37648799897796e-12	5.726727562672671e-15
25	10.0	9.75	0	5.72769618212061e-12	8.242957309443693e-15
26	10.0	10.25	0	5.850189130365468e-12	4.564623114848741e-15
27	11.0	2.25	0	4.58860436070454e-12	7.019429650840944e-15
28	11.0	3.75	0	4.84726158138551e-12	2.416334861921064e-15
29	11.0	4.25	0	4.937612697487242e-12	5.826827620712878e-15
30	11.0	5.75	0	5.223568913556215e-12	9.224742036524713e-15
31	11.0	6.25	0	5.327900893264857e-12	5.569069082494835e-15
32	11.0	7.75	0	5.651409267160775e-12	1.783598261766713e-15
33	11.0	8.25	0	5.763888483027512e-12	5.095763307266476e-15
34	11.0	9.75	0	6.119131261117752e-12	7.020247262220949e-15
35	11.0	10.25	0	6.240671780391378e-12	1.153120022277526e-14
36	12.0	2.25	0	4.619179976317192e-12	1.886430633809539e-15
37	12.0	3.75	0	4.878456275829468e-12	3.109891982682582e-15
38	12.0	4.25	0	4.9631867381829e-12	3.887878944768684e-15
39	12.0	5.75	0	5.252010823709703e-12	2.385391675792488e-15
40	12.0	6.25	0	5.346248379141275e-12	1.659244829370167e-15
41	12.0	7.75	0	5.659280034353612e-12	5.410223264177938e-15
